filename,band_id,x_center,width,band_rate,symmetry,log_norm,std_l,energy,label
000.bmp,0,16,8,0.380952380952381,0.117890775203705,0.111827827990055,7.40864896774292,36.7490252733226,0
000.bmp,1,37,9,0.418604651162791,0.196308478713036,0.176833271980286,7.76781034469605,46.8826982435312,0
000.bmp,2,59,10,0.454545454545455,0.0506225936114788,0.0550915747880936,4.43362712860107,54.2223364019961,0
001.bmp,0,13,10,0.555555555555556,0.0718695446848869,0.0592642463743687,6.48975515365601,38.1292251900553,0
001.bmp,1,31,9,0.514285714285714,0.0880506262183189,0.0733247846364975,7.29073762893677,79.0299490978393,0
001.bmp,2,48,9,0.4,0.0504426136612892,0.0575982481241226,6.14351034164429,70.2830617483109,0
001.bmp,3,76,10,0.357142857142857,0.0129778357222676,0.033662773668766,4.07107448577881,18.8296073669407,0
002.bmp,0,18,9,0.5,0.0363385677337647,0.0577587708830833,7.39788866043091,18.26922554435,0
002.bmp,1,36,10,0.555555555555556,0.0016967348055914,0.0238154232501984,2.74598908424377,79.4307145849302,0
002.bmp,2,54,11,0.578947368421053,0.0128942588344216,0.0351131856441498,6.91581249237061,80.9610841063729,0
002.bmp,3,74,11,0.55,0.0147543754428625,0.0228237975388765,2.21487998962402,89.0511933797056,0
003.bmp,0,18,10,0.526315789473684,0.0110649513080716,0.0312077291309834,2.52706646919251,19.3891619845417,0
003.bmp,1,37,10,0.540540540540541,0.000543962349183857,0.0314445979893208,2.07562351226807,62.4721253313413,0
003.bmp,2,55,11,0.578947368421053,0.00654420629143715,0.0527470409870148,6.92988204956055,46.2956671804529,0
003.bmp,3,75,11,0.55,0.00429812027141452,0.025316009297967,1.83150088787079,69.0765630253976,0
004.bmp,0,10,11,0.611111111111111,0.0624467767775059,0.0543709136545658,5.91629505157471,37.2375861080836,0
004.bmp,1,28,10,0.540540540540541,0.0127151692286134,0.0228615384548903,2.22504949569702,61.6957916921102,0
004.bmp,2,47,9,0.391304347826087,0.148436173796654,0.0956607386469841,9.5375394821167,58.859039297833,0
004.bmp,3,74,10,0.37037037037037,0.00532154133543372,0.0261860713362694,2.86519432067871,18.0528826340058,0
005.bmp,0,18,11,0.578947368421053,0.00419451436027885,0.0252278223633766,2.70817232131958,25.3060838039031,0
005.bmp,1,37,10,0.540540540540541,0.0651275515556335,0.0385510213673115,2.97380781173706,86.8888889384938,0
005.bmp,2,55,11,0.578947368421053,0.0116380788385868,0.0243453625589609,3.78956580162048,67.4669349252348,0
005.bmp,3,75,11,0.55,0.0270116403698921,0.027763556689024,1.85712110996246,85.7362919727875,0
006.bmp,0,14,10,0.434782608695652,0.00577852595597506,0.0426208972930908,4.10797691345215,15.708864752421,0
006.bmp,1,37,11,0.536585365853659,0.00343336421065033,0.0120513215661049,1.33854520320892,84.5749037937243,0
006.bmp,2,55,10,0.526315789473684,0.000422381679527462,0.00997757352888584,1.83032655715942,86.2461854863679,0
006.bmp,3,75,11,0.55,0.0154112679883838,0.0226190071552992,1.94182670116425,102.825292245757,0
007.bmp,0,11,10,0.526315789473684,0.0107869608327746,0.00946207903325558,1.24222731590271,32.9565933558921,0
007.bmp,1,30,10,0.555555555555556,0.0577132403850555,0.0605484955012798,6.39943504333496,56.8974597735457,0
007.bmp,2,47,9,0.4,0.0165234599262476,0.028014924377203,2.96417117118835,45.846678646628,0
007.bmp,3,75,10,0.357142857142857,0.0120679531246424,0.0137391071766615,1.41449165344238,19.8647352876724,0
008.bmp,0,13,11,0.611111111111111,0.0392260700464249,0.0423495136201382,4.97226428985596,38.5596874252442,0
008.bmp,1,31,9,0.514285714285714,0.0726122334599495,0.0635039582848549,6.28358745574951,79.3080255563027,0
008.bmp,2,48,9,0.409090909090909,0.0236336458474398,0.0581797696650028,6.57571077346802,72.6580290543259,0
008.bmp,3,75,10,0.37037037037037,0.0241749808192253,0.0337139554321766,4.15261936187744,20.0451216795885,0
009.bmp,0,10,10,0.476190476190476,0.0130229322239757,0.0463427230715752,3.12483692169189,38.3880804405918,0
009.bmp,1,31,9,0.439024390243902,0.344809532165527,0.300479531288147,11.1838788986206,66.023577456451,0
009.bmp,2,51,10,0.476190476190476,0.00268138945102692,0.0238947756588459,2.52772212028503,72.1321413303854,0
009.bmp,3,73,11,0.5,0.0164009034633636,0.0331683456897736,5.73202323913574,10.8162787145849,0
010.bmp,0,19,11,0.523809523809524,0.0233984310179949,0.0511257015168667,5.94845008850098,10.626832085661,0
010.bmp,1,40,11,0.55,0.0258215814828873,0.0489901788532734,3.41817307472229,76.2017603496526,0
010.bmp,2,59,12,0.705882352941177,0.0224465541541576,0.0454161688685417,2.15718412399292,44.9338253181748,0
010.bmp,3,74,11,0.733333333333333,0.0279461462050676,0.0514632053673267,4.17652702331543,49.3906849914711,0
011.bmp,0,15,10,0.416666666666667,0.0153025332838297,0.0377324037253857,5.14772510528564,20.7236689493769,0
011.bmp,1,39,10,0.476190476190476,0.0749551057815552,0.0820945426821709,6.85887575149536,86.2380276722118,0
011.bmp,2,57,12,0.705882352941177,0.0285855457186699,0.0316336676478386,2.57246136665344,52.6400188609665,0
011.bmp,3,73,11,0.6875,0.00954928901046515,0.0142072215676308,1.83255505561829,43.9884927164668,0
012.bmp,0,16,8,0.363636363636364,0.0537629164755344,0.0829644799232483,6.3784294128418,20.301082392796,0
012.bmp,1,38,11,0.564102564102564,0.0086276913061738,0.0353334695100784,3.1522011756897,86.547103569951,0
012.bmp,2,55,11,0.628571428571429,0.00456143543124199,0.0235377363860607,1.52909362316132,51.7429359059599,0
012.bmp,3,73,11,0.611111111111111,0.00401833420619369,0.0145037090405822,1.31049931049347,40.9445915659669,0
013.bmp,0,14,11,0.458333333333333,0.00190985656809062,0.0149943139404058,2.16169023513794,12.1061382171214,0
013.bmp,1,38,11,0.523809523809524,0.0696537718176842,0.0519592724740505,5.2419695854187,69.5302068806887,0
013.bmp,2,56,11,0.628571428571429,0.0415848754346371,0.0552386753261089,4.81511831283569,42.2155704806687,0
013.bmp,3,73,11,0.647058823529412,0.0165798477828503,0.0202319007366896,1.78420054912567,39.8476505018478,0
014.bmp,0,14,11,0.5,0.0836056247353554,0.146969944238663,8.21429252624512,40.5013378990992,0
014.bmp,1,36,11,0.523809523809524,0.497118771076202,0.410231471061707,10.1896209716797,61.064781026598,0
014.bmp,2,56,10,0.5,0.0381697230041027,0.0622441321611404,4.81660842895508,57.9334514415211,0
015.bmp,0,16,10,0.4,0.00315586081705987,0.0117413401603699,1.48984062671661,9.51875904521434,0
015.bmp,1,41,11,0.511627906976744,0.0160304494202137,0.0204025972634554,1.9857405424118,63.4875764288734,0
015.bmp,2,59,11,0.594594594594595,0.0607434809207916,0.0528258457779884,5.45099210739136,59.4698104127443,0
015.bmp,3,78,11,0.578947368421053,0.0419597364962101,0.0362175740301609,2.99332880973816,38.8762017270824,0
016.bmp,0,14,10,0.416666666666667,0.0119544416666031,0.023404398933053,3.30391979217529,20.7323078784797,0
016.bmp,1,38,11,0.523809523809524,0.0142827294766903,0.0217897705733776,1.83553314208984,94.4567307446379,0
016.bmp,2,56,11,0.611111111111111,0.00533148040995002,0.0156166730448604,1.27743542194366,57.4395709715875,0
016.bmp,3,74,12,0.666666666666667,0.0329241864383221,0.0455157831311226,3.92456197738647,57.954898283238,0
017.bmp,0,14,10,0.476190476190476,0.140740096569061,0.120358310639858,8.28363513946533,30.4155661187795,0
017.bmp,1,35,10,0.476190476190476,0.204468250274658,0.244442194700241,7.336341381073,48.0552009991131,0
017.bmp,2,56,10,0.476190476190476,0.0440447777509689,0.0427740141749382,3.32660841941834,53.5679328317588,0
018.bmp,0,12,8,0.380952380952381,0.0547678992152214,0.0630673915147781,4.7714409828186,41.8791453749642,0
018.bmp,1,33,8,0.390243902439024,0.132128491997719,0.175536304712296,7.24560689926148,62.4580769824538,0
018.bmp,2,53,10,0.487804878048781,0.0289827175438404,0.036403201520443,3.69383859634399,63.3103184974687,0
018.bmp,3,74,7,0.333333333333333,0.00491318572312594,0.012093004770577,1.42178440093994,3.95833153892321,0
019.bmp,0,16,9,0.375,0.000623525120317936,0.0207357965409756,2.23095321655273,8.11962691035916,0
019.bmp,1,40,10,0.5,0.0348923057317734,0.0280797034502029,2.14987802505493,63.9644920862295,0
019.bmp,2,56,10,0.555555555555556,0.000295239791739732,0.0193335320800543,1.2107652425766,59.6408676091717,0
019.bmp,3,76,9,0.45,0.050730861723423,0.0368081294000149,2.72817730903626,39.4403908258051,0
020.bmp,0,13,9,0.428571428571429,0.115579105913639,0.105771325528622,7.87128782272339,38.9101028040778,0
020.bmp,1,34,9,0.45,0.112319976091385,0.159707054495811,8.53665447235107,58.8996476785877,0
020.bmp,2,53,9,0.473684210526316,0.0185276381671429,0.0273835230618715,3.23176431655884,67.6905350068627,0
021.bmp,0,11,7,0.35,0.0101376054808497,0.0255544297397137,2.68308401107788,5.4099176496949,0
021.bmp,1,31,10,0.465116279069767,0.002343506552279,0.031697329133749,2.63080954551697,53.1200610075709,0
021.bmp,2,54,10,0.476190476190476,0.0120271500200033,0.0309249944984913,4.07804441452026,15.6604210037925,0
021.bmp,3,73,10,0.526315789473684,0.000460473151179031,0.0137189906090498,0.934699952602387,49.4284112610685,0
022.bmp,0,17,10,0.434782608695652,0.00925615150481463,0.0217228755354881,2.91000247001648,9.62290450412407,0
022.bmp,1,40,11,0.536585365853659,0.0139689547941089,0.0241462662816048,2.02567768096924,67.3159519612269,0
022.bmp,2,58,12,0.685714285714286,0.0113729210570455,0.0204292591661215,1.11638879776001,39.5635276538868,0
022.bmp,3,75,11,0.647058823529412,0.00247923471033573,0.0152609068900347,1.27879643440247,43.1333533435218,0
023.bmp,0,16,10,0.434782608695652,0.0144772306084633,0.056858766824007,8.63494968414307,17.2321370548753,0
023.bmp,1,39,10,0.487804878048781,0.0311096739023924,0.0459596700966358,5.36223697662354,87.5252458021089,0
023.bmp,2,57,11,0.594594594594595,0.0390417613089085,0.0351230874657631,4.12195491790772,91.1068021908759,0
023.bmp,3,76,11,0.578947368421053,0.050004668533802,0.0593548230826855,6.12380743026733,51.76344111312,0
024.bmp,0,11,9,0.36,0.0167706962674856,0.0436434149742126,7.75191068649292,14.2815107898282,0
024.bmp,1,36,10,0.425531914893617,0.00922437850385904,0.0313289202749729,2.53321552276611,38.0483489092349,0
024.bmp,2,58,11,0.55,0.065764956176281,0.0586143657565117,7.0287504196167,97.0913947779949,0
024.bmp,3,76,10,0.555555555555556,0.00273908721283078,0.0159609504044056,2.21369671821594,57.259411580792,0
025.bmp,0,12,8,0.333333333333333,0.0272980984300375,0.0403049513697624,4.52998876571655,13.2401088355982,0
025.bmp,1,36,10,0.444444444444444,0.0130839450284839,0.0219236444681883,1.59961819648743,40.2598834626619,0
025.bmp,2,57,10,0.487804878048781,0.00706587405875325,0.017975440248847,1.57451105117798,106.651641150662,0
025.bmp,3,77,10,0.5,0.0290141869336367,0.0290340222418308,2.9947612285614,68.8656628966058,0
026.bmp,0,10,13,0.448275862068966,0.0309533588588238,0.031303983181715,4.46288299560547,20.0312356092376,0
026.bmp,1,39,10,0.425531914893617,0.0114734545350075,0.0231629572808743,3.09762787818909,62.5720745200138,0
026.bmp,2,57,11,0.594594594594595,0.0148488618433476,0.0547516345977783,6.11237764358521,46.7994909795097,0
026.bmp,3,76,12,0.631578947368421,0.00367836002260447,0.013202584348619,1.35081803798676,45.4534813148089,0
027.bmp,0,11,10,0.5,0.149863719940186,0.142970114946365,10.0868520736694,39.5260729604388,0
027.bmp,1,31,9,0.45,0.0813062414526939,0.217303708195686,7.07891941070557,65.0851662797103,0
027.bmp,2,51,11,0.511627906976744,0.00195469241589308,0.0237267706543207,2.25047159194946,66.7912614836126,0
027.bmp,3,74,13,0.565217391304348,0.0150943901389837,0.0344778709113598,5.78061294555664,10.2648984026538,0
028.bmp,0,9,10,0.37037037037037,0.0301386564970016,0.0457223802804947,9.49291324615479,8.57419892385805,0
028.bmp,1,36,11,0.458333333333333,0.0291846599429846,0.0382130332291126,4.96746301651001,47.4025688028269,0
028.bmp,2,57,11,0.564102564102564,0.024855324998498,0.0401776656508446,5.19904851913452,115.84430524827,0
028.bmp,3,75,10,0.555555555555556,0.00491944747045636,0.0232354961335659,3.7742805480957,65.9011812883077,0
029.bmp,0,12,10,0.526315789473684,0.0451712273061276,0.0508318915963173,4.53341722488403,28.7303867758964,0
029.bmp,1,31,10,0.526315789473684,0.0226235948503017,0.0442827269434929,2.91058158874512,53.8334857330673,0
029.bmp,2,50,10,0.416666666666667,0.132400631904602,0.0971476435661316,6.10557508468628,43.9835016212526,0
029.bmp,3,79,12,0.413793103448276,0.0684651136398315,0.0674063861370087,5.7592625617981,17.6341454111381,0
030.bmp,0,16,10,0.5,0.0475407689809799,0.0847216919064522,6.87655353546143,27.9057521505444,0
030.bmp,1,36,10,0.512820512820513,0.00188991893082857,0.0133529985323548,0.897111535072327,56.7552759545205,0
030.bmp,2,55,12,0.6,0.0707324668765068,0.13247749209404,5.1953501701355,60.9645615360273,0
030.bmp,3,76,12,0.571428571428571,0.0891942903399468,0.100124374032021,6.59535980224609,54.1506342286912,0
031.bmp,0,13,11,0.407407407407407,0.00419650273397565,0.0157294981181622,1.38561153411865,13.1477549646478,0
031.bmp,1,40,11,0.488888888888889,4.96018437843304E-05,0.00722845597192645,0.974335670471191,51.3734904719609,0
031.bmp,2,58,11,0.578947368421053,0.0130383623763919,0.0147320600226522,1.24016714096069,46.2257492563324,0
031.bmp,3,78,12,0.6,0.012535260990262,0.0117331873625517,1.34769928455353,36.9315871916064,0
032.bmp,0,14,9,0.391304347826087,0.00155358295887709,0.051921121776104,4.02656745910645,14.7340991076639,0
032.bmp,1,37,11,0.523809523809524,0.00288680684752762,0.0397377163171768,2.33278298377991,64.1333269670176,0
032.bmp,2,56,12,0.666666666666667,0.0239017568528652,0.0404878035187721,1.50148749351501,39.6157450557743,0
032.bmp,3,73,11,0.647058823529412,0.0252199824899435,0.0353430397808552,2.1778872013092,29.9894224968277,0
033.bmp,0,15,12,0.521739130434783,0.0131636215373874,0.0162327047437429,2.47460103034973,8.81394721337768,0
033.bmp,1,38,11,0.536585365853659,0.0539259910583496,0.0557396374642849,5.31760692596436,66.9491912991467,0
033.bmp,2,56,11,0.628571428571429,0.056800190359354,0.0653587356209755,5.43772840499878,41.6489073096711,0
033.bmp,3,73,12,0.705882352941177,0.0225819200277329,0.0253871437162161,2.3382465839386,46.7019230377623,0
034.bmp,0,18,10,0.476190476190476,0.00226559769362211,0.0577441826462746,3.54845547676086,21.8311404108716,0
034.bmp,1,39,10,0.512820512820513,0.0403988249599934,0.0540462769567966,4.46814489364624,60.4971966235518,0
034.bmp,2,57,10,0.526315789473684,0.00562956742942333,0.0909459367394447,1.46322596073151,56.0835296581476,0
034.bmp,3,77,12,0.6,0.0038182819262147,0.0243906639516354,1.13638389110565,50.3601936195573,0
035.bmp,0,13,10,0.4,0.0553754828870297,0.10628928989172,3.78898882865906,31.7991307527229,0
035.bmp,1,38,10,0.444444444444444,0.110157698392868,0.156708166003227,5.15166091918945,34.2648021398901,0
035.bmp,2,58,9,0.473684210526316,0.0281119868159294,0.0484329201281071,3.3809072971344,19.074482801663,0
035.bmp,3,76,10,0.555555555555556,0.0248344652354717,0.0380600541830063,2.21893501281738,69.0486142992386,0
036.bmp,0,15,11,0.611111111111111,0.0586446449160576,0.0443423613905907,6.58599090576172,49.713228908483,0
036.bmp,1,33,9,0.486486486486487,0.00161905714776367,0.0345634445548058,3.84026408195496,85.1720869980777,0
036.bmp,2,52,8,0.347826086956522,0.0856020525097847,0.0827818810939789,9.53046035766602,73.0348283745669,0
036.bmp,3,79,10,0.37037037037037,0.00119724089745432,0.0372801832854748,6.775559425354,18.7716159890816,0
037.bmp,0,16,11,0.523809523809524,0.000902813160791993,0.0181105397641659,1.50200808048248,14.2174357090835,0
037.bmp,1,37,11,0.578947368421053,0.0799701437354088,0.071491189301014,4.96255016326904,68.8326454015352,0
037.bmp,2,54,11,0.594594594594595,0.00150669855065644,0.0197106432169676,2.34151387214661,57.6738422345952,0
037.bmp,3,74,11,0.55,0.000838740495964885,0.0207992158830166,1.27265238761902,68.8779453663818,0
038.bmp,0,12,9,0.375,0.0841535329818726,0.0927365049719811,6.52104091644287,25.0794909285682,0
038.bmp,1,36,9,0.391304347826087,0.0556541942059994,0.106278605759144,4.97706317901611,45.6688723889114,0
038.bmp,2,58,8,0.41025641025641,0.0442541129887104,0.0541120022535324,5.645667552948,27.6339088703531,0
038.bmp,3,75,10,0.588235294117647,0.0218493286520243,0.0295771490782499,1.93517196178436,73.3778891217589,0
039.bmp,0,13,8,0.333333333333333,0.00624819891527295,0.0425539202988148,8.0376558303833,6.66483408290538,0
039.bmp,1,37,11,0.478260869565217,0.0170015338808298,0.0475434064865112,5.11184883117676,46.3342289606986,0
039.bmp,2,59,11,0.536585365853659,0.0505771487951279,0.0702689811587334,6.94327878952026,105.869721698175,0
039.bmp,3,78,11,0.578947368421053,0.00573821738362312,0.0305943377315998,3.21238994598389,63.8269740349216,0
040.bmp,0,14,12,0.48,0.00130043865647167,0.0306692961603403,4.29605579376221,14.4915721456104,0
040.bmp,1,39,11,0.511627906976744,0.0104979462921619,0.0314767323434353,4.16727495193481,58.0383590955244,0
040.bmp,2,57,11,0.578947368421053,0.00119531364180148,0.0252174828201532,1.81827223300934,43.4546190587648,0
040.bmp,3,77,11,0.55,0.00132405420299619,0.0210266709327698,2.28991985321045,40.2902974711364,0
041.bmp,0,15,10,0.416666666666667,0.00222846842370927,0.0381647795438767,5.58730840682983,15.4581359434034,0
041.bmp,1,39,11,0.511627906976744,0.00701374281197786,0.0228849444538355,2.30597448348999,69.5900218125778,0
041.bmp,2,58,11,0.578947368421053,0.000749284226913005,0.0325092449784279,3.3183319568634,71.5918886419927,0
041.bmp,3,77,11,0.578947368421053,0.0074007511138916,0.0381487086415291,2.68754267692566,38.0167200117009,0
042.bmp,0,17,10,0.476190476190476,0.0392087996006012,0.0382357947528362,3.08893752098084,23.4733026974345,0
042.bmp,1,38,10,0.5,0.00666562002152205,0.0320082567632198,3.18396377563477,68.4251885331684,0
042.bmp,2,57,11,0.578947368421053,0.16137470304966,0.174705341458321,5.17637729644775,57.8972051152369,0
042.bmp,3,76,12,0.631578947368421,0.000846752373035997,0.0197046604007483,1.0274111032486,53.2737570904657,0
043.bmp,0,14,11,0.478260869565217,0.000675757706630975,0.0381182581186295,6.15816497802734,25.9433019374677,0
043.bmp,1,37,11,0.523809523809524,0.022327421233058,0.0329155661165714,2.82609939575195,78.4872589375035,0
043.bmp,2,56,11,0.578947368421053,0.0113988546654582,0.026974143460393,2.96136403083801,76.5650786187555,0
043.bmp,3,75,11,0.578947368421053,0.0652021020650864,0.0789575576782227,6.68952226638794,38.9763048773723,0
044.bmp,0,10,10,0.416666666666667,0.00503695057705045,0.0303223039954901,3.43036365509033,36.7852865805814,0
044.bmp,1,34,9,0.4,0.00446553993970156,0.0261444002389908,2.83667755126953,57.7798726455008,0
044.bmp,2,55,11,0.578947368421053,0.0273729003965855,0.0289701409637928,4.35180854797363,42.5298965907392,0
044.bmp,3,72,10,0.588235294117647,0.00782572571188211,0.0235331021249294,3.12794756889343,97.0396279789127,0
045.bmp,0,10,9,0.428571428571429,0.0116443485021591,0.0616218857467175,5.07892274856567,35.6713350253449,0
045.bmp,1,31,7,0.341463414634146,0.264600247144699,0.298382967710495,14.0774717330933,65.6544210125578,0
045.bmp,2,51,10,0.487804878048781,0.00376938935369253,0.0293194502592087,2.86893129348755,64.1329270132144,0
045.bmp,3,72,12,0.571428571428571,0.0276992339640856,0.0452215671539307,6.88687086105347,6.82990790534468,0
046.bmp,0,15,10,0.476190476190476,0.0143848787993193,0.040438998490572,3.12271928787231,16.2278529494068,0
